id,dbms,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1791,mysql,0,25,100000,1000000,73.26,a81d770,1365.0,18.32,2022-03-28 12:57:17
1792,mongodb,1,200,100000,1000000,2.91,a81d770,34364.26,5.82,2022-03-28 12:57:41
1793,mysql,1,500,100000,1000000,20.7,a81d770,4830.92,103.5,2022-03-28 12:58:21
1794,mysql,1,1500,100000,1000000,20.27,a81d770,4933.4,307.12,2022-03-28 12:59:01
1795,mysql,0,500,100000,1000000,7.7,a81d770,12987.01,38.5,2022-03-28 12:59:13
1796,mongodb,0,2000,100000,1000000,0.93,a81d770,107526.88,18.6,2022-03-28 12:59:25
1797,mysql,1,100,100000,1000000,30.13,a81d770,3318.95,30.13,2022-03-28 13:00:15
1798,mongodb,1,50,100000,1000000,3.46,a81d770,28901.73,1.73,2022-03-28 13:00:39
1799,mongodb,0,25,100000,1000000,3.47,a81d770,28818.44,0.87,2022-03-28 13:00:53
1800,mongodb,1,100,100000,1000000,2.95,a81d770,33898.31,2.95,2022-03-28 13:01:17
1801,mysql,0,1500,100000,1000000,4.02,a81d770,24875.62,60.91,2022-03-28 13:01:32
1802,postgres,0,300,100000,1000000,7.54,a81d770,13262.6,22.64,2022-03-28 13:02:55
1803,mysql,1,1500,100000,1000000,20.27,a81d770,4933.4,307.12,2022-03-28 13:03:35
1804,postgres,0,25,100000,1000000,200.26,a81d770,499.35,50.07,2022-03-28 13:08:10
1805,postgres,1,500,100000,1000000,9.66,a81d770,10351.97,48.3,2022-03-28 13:09:57
1806,postgres,1,50,100000,1000000,15.08,a81d770,6631.3,7.54,2022-03-28 13:11:50
1807,mongodb,1,2000,100000,1000000,2.31,a81d770,43290.04,46.2,2022-03-28 13:12:15
1808,mysql,0,500,100000,1000000,7.48,a81d770,13368.98,37.4,2022-03-28 13:12:27
